page_id,content_type,en_path,de_path,fr_path,es_path,ja_path,pt_br_path,localization_status
home,core,/en,/de,/fr,/es,/ja,/pt-br,approved_launch
ai_code_review,core,/en/ai-code-review,/de/ki-code-review,/fr/revue-de-code-ia,/es/revision-de-codigo-con-ia,/ja/ai-コードレビュー,/pt-br/revisao-de-codigo-com-ia,approved_launch
product,core,/en/product,/de/produkt,/fr/produit,/es/producto,/ja/製品,/pt-br/produto,approved_launch
how_it_works,core,/en/how-it-works,/de/so-funktioniert-es,/fr/comment-ca-marche,/es/como-funciona,/ja/仕組み,/pt-br/como-funciona,approved_launch
github_ai_code_review,core,/en/github-ai-code-review,/de/github-ki-code-review,/fr/revue-de-code-ia-github,/es/revision-de-codigo-con-ia-en-github,/ja/github-ai-コードレビュー,/pt-br/revisao-de-codigo-com-ia-no-github,approved_launch
multi_model_code_review,core,/en/multi-model-code-review,/de/multi-modell-code-review,/fr/revue-de-code-multi-modele,/es/revision-de-codigo-multimodelo,/ja/マルチモデルコードレビュー,/pt-br/revisao-de-codigo-multimodelo,approved_launch
consensus_code_review,core,/en/consensus-code-review,/de/konsens-code-review,/fr/revue-de-code-par-consensus,/es/revision-de-codigo-por-consenso,/ja/コンセンサスコードレビュー,/pt-br/revisao-de-codigo-por-consenso,approved_launch
transparent_ai_code_review_costs,core,/en/transparent-ai-code-review-costs,/de/transparente-ki-code-review-kosten,/fr/couts-transparents-de-revue-de-code-ia,/es/costes-transparentes-de-revision-de-codigo-con-ia,/ja/ai-コードレビューの透明なコスト,/pt-br/custos-transparentes-de-revisao-de-codigo-com-ia,approved_launch
post_merge_qa,core,/en/post-merge-qa,/de/post-merge-qa,/fr/qa-apres-fusion,/es/qa-posterior-a-la-fusion,/ja/マージ後qa,/pt-br/qa-pos-merge,approved_launch
benchmarks,core,/en/benchmarks,/de/benchmarks,/fr/benchmarks,/es/benchmarks,/ja/ベンチマーク,/pt-br/benchmarks,approved_launch
examples,core,/en/examples,/de/beispiele,/fr/exemples,/es/ejemplos,/ja/事例,/pt-br/exemplos,approved_launch
pricing,core,/en/pricing,/de/preise,/fr/tarifs,/es/precios,/ja/料金,/pt-br/precos,approved_launch
security,core,/en/security,/de/sicherheit,/fr/securite,/es/seguridad,/ja/セキュリティ,/pt-br/seguranca,approved_launch
open_source,core,/en/open-source,/de/open-source,/fr/open-source,/es/codigo-abierto,/ja/オープンソース,/pt-br/codigo-aberto,approved_launch
changelog,core,/en/changelog,/de/aenderungsprotokoll,/fr/journal-des-modifications,/es/registro-de-cambios,/ja/変更履歴,/pt-br/registro-de-alteracoes,approved_launch
about,core,/en/about,/de/ueber-uns,/fr/a-propos,/es/acerca-de,/ja/jurorについて,/pt-br/sobre,approved_launch
contact,core,/en/contact,/de/kontakt,/fr/contact,/es/contacto,/ja/お問い合わせ,/pt-br/contato,approved_launch
privacy,legal,/en/legal/privacy,/de/rechtliches/datenschutz,/fr/mentions-legales/confidentialite,/es/legal/privacidad,/ja/法務/プライバシー,/pt-br/legal/privacidade,approved_launch
terms,legal,/en/legal/terms,/de/rechtliches/nutzungsbedingungen,/fr/mentions-legales/conditions,/es/legal/terminos,/ja/法務/利用規約,/pt-br/legal/termos,approved_launch
features,feature,/en/features,/de/funktionen,/fr/fonctionnalites,/es/funciones,/ja/機能,/pt-br/funcionalidades,approved_launch
parallel_model_review,feature,/en/features/parallel-model-review,/de/funktionen/parallele-modell-code-review,/fr/fonctionnalites/revue-de-code-parallele-par-modeles,/es/funciones/revision-de-codigo-paralela-por-modelos,/ja/機能/並列モデルコードレビュー,/pt-br/funcionalidades/revisao-paralela-por-modelos,approved_launch
deduplicated_findings,feature,/en/features/deduplicated-findings,/de/funktionen/deduplizierte-befunde,/fr/fonctionnalites/constats-dedupliques,/es/funciones/hallazgos-sin-duplicados,/ja/機能/重複のない検出結果,/pt-br/funcionalidades/descobertas-sem-duplicacao,approved_launch
merge_confidence,feature,/en/features/merge-confidence,/de/funktionen/merge-vertrauen,/fr/fonctionnalites/confiance-de-fusion,/es/funciones/confianza-de-fusion,/ja/機能/マージ信頼度,/pt-br/funcionalidades/confianca-de-merge,approved_launch
consensus_mode,feature,/en/features/consensus-mode,/de/funktionen/konsensmodus,/fr/fonctionnalites/mode-consensus,/es/funciones/modo-consenso,/ja/機能/コンセンサスモード,/pt-br/funcionalidades/modo-consenso,approved_launch
cost_receipts,feature,/en/features/cost-receipts,/de/funktionen/kostenbelege,/fr/fonctionnalites/releves-de-couts,/es/funciones/recibos-de-costes,/ja/機能/コスト明細,/pt-br/funcionalidades/recibos-de-custo,approved_launch
repository_context_without_indexing,feature,/en/features/repository-context-without-indexing,/de/funktionen/repository-kontext-ohne-indexierung,/fr/fonctionnalites/contexte-de-depot-sans-indexation,/es/funciones/contexto-del-repositorio-sin-indexacion,/ja/機能/インデックスなしのリポジトリコンテキスト,/pt-br/funcionalidades/contexto-do-repositorio-sem-indexacao,approved_launch
post_merge_browser_qa,feature,/en/features/post-merge-browser-qa,/de/funktionen/browser-qa-nach-merge,/fr/fonctionnalites/qa-navigateur-apres-fusion,/es/funciones/qa-de-navegador-posterior-a-la-fusion,/ja/機能/マージ後ブラウザqa,/pt-br/funcionalidades/qa-de-navegador-pos-merge,approved_launch
solutions,solution,/en/solutions,/de/loesungen,/fr/solutions,/es/soluciones,/ja/ソリューション,/pt-br/solucoes,approved_launch
review_ai_generated_code,solution,/en/solutions/review-ai-generated-code,/de/loesungen/ki-generierten-code-pruefen,/fr/solutions/revoir-du-code-genere-par-ia,/es/soluciones/revisar-codigo-generado-por-ia,/ja/ソリューション/ai生成コードをレビューする,/pt-br/solucoes/revisar-codigo-gerado-por-ia,approved_launch
github_actions_code_review,solution,/en/solutions/github-actions-code-review,/de/loesungen/github-actions-code-review,/fr/solutions/revue-de-code-github-actions,/es/soluciones/revision-de-codigo-con-github-actions,/ja/ソリューション/github-actionsコードレビュー,/pt-br/solucoes/revisao-de-codigo-com-github-actions,approved_launch
engineering_teams,solution,/en/solutions/engineering-teams,/de/loesungen/entwicklungsteams,/fr/solutions/equipes-d-ingenierie,/es/soluciones/equipos-de-ingenieria,/ja/ソリューション/エンジニアリングチーム,/pt-br/solucoes/equipes-de-engenharia,approved_launch
