priority,cluster,en_keywords,canonical_page,intent,funnel,required_serp_asset,localized_keyword_direction,volume_us,kd_us,cpc_us,volume_de,kd_de,volume_fr,kd_fr,volume_es,kd_es,volume_ja,kd_ja,volume_pt_br,kd_pt_br,metric_source,validated_on
P0,category,"ai code review;ai code reviewer;ai code review tool;automated code review",ai_code_review,category_evaluation,commercial,"category page;product demo;FAQ","Translate native category term and validate developer usage",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P0,github_install,"github ai code review;github action code review;ai code review github actions;pull request review bot github",github_ai_code_review,implementation_evaluation,commercial,"setup page;SHA-pinned YAML;HowTo","Keep GitHub and GitHub Actions unaltered; translate task language",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P0,generated_code,"review ai generated code;ai agent code review;code review for Claude Code;code review for Codex;vibe code review",review_ai_generated_code,problem_solution,commercial,"solution page;policy template;guide","Use locally preferred term for generated code and preserve product names",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P0,competitor_alternatives,"greptile alternative;coderabbit alternative;qodo alternative;cursor bugbot alternative",comparison_pages,alternative_comparison,commercial,"one source-backed comparison per competitor","Do not translate trademarks; translate alternative/comparison phrase",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P1,multi_model,"multi model code review;multiple LLM code review;LLM ensemble code review;consensus code review",multi_model_code_review,feature_evaluation,commercial,"feature pages;mechanism diagram","Validate whether native market uses model plural or ensemble wording",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P1,cost,"code review cost;ai code review pricing;LLM code review cost;code review ROI",transparent_ai_code_review_costs,pricing_research,commercial,"cost page;receipt demo;worksheet","Translate cost concept; never localize price claims without local billing facts",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P1,checklist,"pull request review checklist;code review checklist;code review best practices;PR review checklist",code_review_checklist,task_completion,informational,"checklist;downloadable Markdown;FAQ","Localize checklist terminology and examples for each developer audience",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P1,benchmark,"ai code review benchmark;code review benchmark;greptile benchmark;AI reviewer evaluation",benchmarks,evidence_evaluation,commercial,"benchmark;methodology;raw artifacts","Translate evaluation terms but retain metric definitions identically",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P1,post_merge,"post merge testing;post deployment QA;ai browser QA;synthetic user journey testing",post_merge_qa,capability_evaluation,commercial,"capability page;setup guide;template","Use native QA terminology; preserve post-merge as an explanatory term where unfamiliar",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P2,automation,"code review bot;automated pull request review;PR review automation;code review workflow",automated_pull_request_review,how_to,informational,"guide;GitHub workflow;related docs","Translate workflow and automation terms; do not translate a PR abbreviation that is common in the local market",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P2,review_boundaries,"static analysis vs ai code review;ai code review vs human review;code review vs testing;SAST vs code review",ai_code_review_vs_static_analysis,comparison_education,informational,"decision guide;comparison table","Use the actual local terms for static analysis and testing; do not force English acronyms",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P2,language_checklists,"typescript code review checklist;python code review checklist;go code review checklist;java code review checklist",language_checklists,task_completion,informational,"four expert checklist pages","Keep language names; localize code-review/checklist phrase and examples",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
P2,templates,"github actions PR template;pull request template;CODEOWNERS template;code review policy template",templates,task_completion,informational,"copyable template pages;GitHub source files","Keep GitHub Actions and CODEOWNERS identifiers; translate explanatory term",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ahrefs_or_Google_Keyword_Planner,TBD
